"Grid_Point
Latitude","Grid_Point
Longitude",Date,ERA5_RAIN (mm)
22.7,76,22-10-2005,0.0004
22.7,76.1,22-10-2005,0.0004
22.8,75.7,22-10-2005,0.0004
22.8,75.8,22-10-2005,0.0004
22.8,75.9,22-10-2005,0.0004
22.8,76,22-10-2005,0.0004
22.8,76.1,22-10-2005,0.0004
22.6,75.7,23-10-2005,0.0013
22.6,75.8,23-10-2005,0.0013
22.6,75.9,23-10-2005,0.0013
22.6,76,23-10-2005,0.0013
22.6,76.1,23-10-2005,0.0013
22.7,75.7,23-10-2005,0.0013
22.7,75.8,23-10-2005,0.0013
22.7,75.9,23-10-2005,0.0013
22.7,76,23-10-2005,0.0013
22.7,76.1,23-10-2005,0.0013
22.8,75.7,23-10-2005,0.0013
22.8,75.8,23-10-2005,0.0013
22.8,75.9,23-10-2005,0.0013
22.8,76,23-10-2005,0.0013
22.8,76.1,23-10-2005,0.0013
22.6,75.7,24-10-2005,0.0004
22.6,75.8,24-10-2005,0.0004
22.6,75.9,24-10-2005,0.0004
22.6,76,24-10-2005,0.0004
22.6,76.1,24-10-2005,0.0004
22.7,75.7,24-10-2005,0.0004
22.7,75.8,24-10-2005,0.0004
22.7,75.9,24-10-2005,0.0004
22.7,76,24-10-2005,0.0004
22.7,76.1,24-10-2005,0.0004
22.8,75.7,24-10-2005,0.0004
22.8,75.8,24-10-2005,0.0004
22.8,75.9,24-10-2005,0.0004
22.8,76,24-10-2005,0.0004
22.8,76.1,24-10-2005,0.0004
22.6,75.7,25-10-2005,0.0009
22.6,75.8,25-10-2005,0.0009
22.6,75.9,25-10-2005,0.0009
22.6,76,25-10-2005,0.0009
22.6,76.1,25-10-2005,0.0009
22.7,75.7,25-10-2005,0.0009
22.7,75.8,25-10-2005,0.0009
22.7,75.9,25-10-2005,0.0009
22.7,76,25-10-2005,0.0009
22.7,76.1,25-10-2005,0.0009
22.8,75.7,25-10-2005,0.0009
22.8,75.8,25-10-2005,0.0009
22.8,75.9,25-10-2005,0.0009
22.8,76,25-10-2005,0.0009
22.8,76.1,25-10-2005,0.0009
22.6,75.7,26-10-2005,0
22.6,75.8,26-10-2005,0
22.6,75.9,26-10-2005,0
22.6,76,26-10-2005,0
22.6,76.1,26-10-2005,0
22.7,75.7,26-10-2005,0
22.7,75.8,26-10-2005,0
22.7,75.9,26-10-2005,0
22.7,76,26-10-2005,0
22.7,76.1,26-10-2005,0
22.8,75.7,26-10-2005,0
22.8,75.8,26-10-2005,0
22.8,75.9,26-10-2005,0
22.8,76,26-10-2005,0
22.8,76.1,26-10-2005,0
22.6,75.7,27-10-2005,0.0009
22.6,75.8,27-10-2005,0.0009
22.6,75.9,27-10-2005,0.0009
22.6,76,27-10-2005,0.0009
22.6,76.1,27-10-2005,0.0009
22.7,75.7,27-10-2005,0.0009
22.7,75.8,27-10-2005,0.0009
22.7,75.9,27-10-2005,0.0009
22.7,76,27-10-2005,0.0009
22.7,76.1,27-10-2005,0.0009
22.8,75.7,27-10-2005,0.0009
22.8,75.8,27-10-2005,0.0009
22.8,75.9,27-10-2005,0.0009
22.8,76,27-10-2005,0.0009
22.8,76.1,27-10-2005,0.0009
22.6,75.7,28-10-2005,0.0009
22.6,75.8,28-10-2005,0.0009
22.6,75.9,28-10-2005,0.0009
22.6,76,28-10-2005,0.0009
22.6,76.1,28-10-2005,0.0009
22.7,75.7,28-10-2005,0.0009
22.7,75.8,28-10-2005,0.0009
22.7,75.9,28-10-2005,0.0009
22.7,76,28-10-2005,0.0009
22.7,76.1,28-10-2005,0.0009
22.8,75.7,28-10-2005,0.0009
22.8,75.8,28-10-2005,0.0009
22.8,75.9,28-10-2005,0.0009
22.8,76,28-10-2005,0.0009
22.8,76.1,28-10-2005,0.0009
22.6,75.7,29-10-2005,0.0009
22.6,75.8,29-10-2005,0.0009
22.6,75.9,29-10-2005,0.0009
22.6,76,29-10-2005,0.0009
22.6,76.1,29-10-2005,0.0009
22.7,75.7,29-10-2005,0.0009
22.7,75.8,29-10-2005,0.0009
22.7,75.9,29-10-2005,0.0009
22.7,76,29-10-2005,0.0009
22.7,76.1,29-10-2005,0.0009
22.8,75.7,29-10-2005,0.0009
22.8,75.8,29-10-2005,0.0009
22.8,75.9,29-10-2005,0.0009
22.8,76,29-10-2005,0.0009
22.8,76.1,29-10-2005,0.0009
22.6,75.7,30-10-2005,0
22.6,75.8,30-10-2005,0
22.6,75.9,30-10-2005,0
22.6,76,30-10-2005,0
22.6,76.1,30-10-2005,0
22.7,75.7,30-10-2005,0
22.7,75.8,30-10-2005,0
22.7,75.9,30-10-2005,0
22.7,76,30-10-2005,0
22.7,76.1,30-10-2005,0
22.8,75.7,30-10-2005,0
22.8,75.8,30-10-2005,0
22.8,75.9,30-10-2005,0
22.8,76,30-10-2005,0
22.8,76.1,30-10-2005,0
22.6,75.7,31-10-2005,0
22.6,75.8,31-10-2005,0
22.6,75.9,31-10-2005,0
22.6,76,31-10-2005,0
22.6,76.1,31-10-2005,0
22.7,75.7,31-10-2005,0
22.7,75.8,31-10-2005,0
22.7,75.9,31-10-2005,0
22.7,76,31-10-2005,0
22.7,76.1,31-10-2005,0
22.8,75.7,31-10-2005,0
22.8,75.8,31-10-2005,0
22.8,75.9,31-10-2005,0
22.8,76,31-10-2005,0
22.8,76.1,31-10-2005,0
22.6,75.7,01-10-2006,6.4524
22.6,75.8,01-10-2006,6.8455
22.6,75.9,01-10-2006,7.5452
22.6,76,01-10-2006,8.6305
22.6,76.1,01-10-2006,9.681
22.7,75.7,01-10-2006,5.037
22.7,75.8,01-10-2006,5.3952
22.7,75.9,01-10-2006,5.9651
22.7,76,01-10-2006,6.8057
22.7,76.1,01-10-2006,7.6381
22.8,75.7,01-10-2006,3.6717
22.8,75.8,01-10-2006,4.0649
22.8,75.9,01-10-2006,4.5097
22.8,76,01-10-2006,4.8749
22.8,76.1,01-10-2006,5.1555
22.6,75.7,02-10-2006,1.1231
22.6,75.8,02-10-2006,1.1948
22.6,75.9,02-10-2006,1.0862
22.6,76,02-10-2006,0.7545
22.6,76.1,02-10-2006,0.4373
22.7,75.7,02-10-2006,1.1287
22.7,75.8,02-10-2006,1.136
22.7,75.9,02-10-2006,1.022
22.7,76,02-10-2006,0.7404
22.7,76.1,02-10-2006,0.4612
22.8,75.7,02-10-2006,1.0488
22.8,75.8,02-10-2006,0.96
22.8,75.9,02-10-2006,0.8128
22.8,76,02-10-2006,0.6238
22.8,76.1,02-10-2006,0.4472
22.6,75.7,03-10-2006,0.4713
22.6,75.8,03-10-2006,0.3421
22.6,75.9,03-10-2006,0.323
22.6,76,03-10-2006,0.4358
22.6,76.1,03-10-2006,0.538
22.7,75.7,03-10-2006,0.4359
22.7,75.8,03-10-2006,0.3587
22.7,75.9,03-10-2006,0.3476
22.7,76,03-10-2006,0.431
22.7,76.1,03-10-2006,0.5138
22.8,75.7,03-10-2006,0.4051
22.8,75.8,03-10-2006,0.3791
22.8,75.9,03-10-2006,0.3851
22.8,76,03-10-2006,0.4162
22.8,76.1,03-10-2006,0.4409
22.6,75.7,04-10-2006,0.3416
22.6,75.8,04-10-2006,0.3637
22.6,75.9,04-10-2006,0.3522
22.6,76,04-10-2006,0.2961
22.6,76.1,04-10-2006,0.2416
22.7,75.7,04-10-2006,0.2018
22.7,75.8,04-10-2006,0.2514
22.7,75.9,04-10-2006,0.2678
22.7,76,04-10-2006,0.2376
22.7,76.1,04-10-2006,0.2071
22.8,75.7,04-10-2006,0.1076
22.8,75.8,04-10-2006,0.1368
22.8,75.9,04-10-2006,0.148
22.8,76,04-10-2006,0.1436
22.8,76.1,04-10-2006,0.1408
22.6,75.7,05-10-2006,0.0017
22.6,75.8,05-10-2006,0.0022
22.6,75.9,05-10-2006,0.0022
22.6,76,05-10-2006,0.0021
22.6,76.1,05-10-2006,0.0016
22.7,75.7,05-10-2006,0.0025
22.7,75.8,05-10-2006,0.0022
22.7,75.9,05-10-2006,0.0024
22.7,76,05-10-2006,0.002
22.7,76.1,05-10-2006,0.0015
22.8,75.7,05-10-2006,0.0024
22.8,75.8,05-10-2006,0.0022
22.8,75.9,05-10-2006,0.0022
22.8,76,05-10-2006,0.0019
22.8,76.1,05-10-2006,0.0014
22.6,75.7,06-10-2006,0.0017
22.6,75.8,06-10-2006,0.0017
22.6,75.9,06-10-2006,0.0013
22.6,76,06-10-2006,0.0011
22.6,76.1,06-10-2006,0.0003
22.7,75.7,06-10-2006,0.0024
22.7,75.8,06-10-2006,0.0022
22.7,75.9,06-10-2006,0.0017
22.7,76,06-10-2006,0.0014
22.7,76.1,06-10-2006,0.0002
22.8,75.7,06-10-2006,0.0037
22.8,75.8,06-10-2006,0.0025
22.8,75.9,06-10-2006,0.0017
22.8,76,06-10-2006,0.0009
22.8,76.1,06-10-2006,0.0006
22.6,75.7,07-10-2006,0.003
22.6,75.8,07-10-2006,0.0021
22.6,75.9,07-10-2006,0.0017
22.6,76,07-10-2006,0.0018
22.6,76.1,07-10-2006,0.0021
22.7,75.7,07-10-2006,0.0026
22.7,75.8,07-10-2006,0.002
22.7,75.9,07-10-2006,0.0017
22.7,76,07-10-2006,0.0017
22.7,76.1,07-10-2006,0.0021
22.8,75.7,07-10-2006,0.003
22.8,75.8,07-10-2006,0.0023
22.8,75.9,07-10-2006,0.0018
22.8,76,07-10-2006,0.0017
22.8,76.1,07-10-2006,0.0017
22.6,75.7,08-10-2006,0.0004
22.6,75.8,08-10-2006,0.0004
22.6,75.9,08-10-2006,0.0004
22.6,76,08-10-2006,0.0004
22.6,76.1,08-10-2006,0.0004
22.7,75.7,08-10-2006,0.0004
22.7,75.8,08-10-2006,0.0004
22.7,75.9,08-10-2006,0.0004
22.7,76,08-10-2006,0.0004
22.7,76.1,08-10-2006,0.0004
22.8,75.7,08-10-2006,0.0004
22.8,75.8,08-10-2006,0.0004
22.8,75.9,08-10-2006,0.0004
22.8,76,08-10-2006,0.0004
22.8,76.1,08-10-2006,0.0004
22.6,75.7,09-10-2006,0.0021
22.6,75.8,09-10-2006,0.0021
22.6,75.9,09-10-2006,0.0021
22.6,76,09-10-2006,0.0021
22.6,76.1,09-10-2006,0.0021
22.7,75.7,09-10-2006,0.0021
22.7,75.8,09-10-2006,0.0021
22.7,75.9,09-10-2006,0.0021
22.7,76,09-10-2006,0.0021
22.7,76.1,09-10-2006,0.0021
22.8,75.7,09-10-2006,0.0021
22.8,75.8,09-10-2006,0.0021
22.8,75.9,09-10-2006,0.0021
22.8,76,09-10-2006,0.0021
22.8,76.1,09-10-2006,0.0021
22.6,75.7,10-10-2006,0.0009
22.6,75.8,10-10-2006,0.0009
22.6,75.9,10-10-2006,0.0009
22.6,76,10-10-2006,0.0009
22.6,76.1,10-10-2006,0.0009
22.7,75.7,10-10-2006,0.0009
22.7,75.8,10-10-2006,0.0009
22.7,75.9,10-10-2006,0.0009
22.7,76,10-10-2006,0.0009
22.7,76.1,10-10-2006,0.0009
22.8,75.7,10-10-2006,0.0009
22.8,75.8,10-10-2006,0.0009
22.8,75.9,10-10-2006,0.0009
22.8,76,10-10-2006,0.0009
22.8,76.1,10-10-2006,0.0009
22.6,75.7,11-10-2006,0.0009
22.6,75.8,11-10-2006,0.0009
22.6,75.9,11-10-2006,0.0009
22.6,76,11-10-2006,0.0009
22.6,76.1,11-10-2006,0.0009
22.7,75.7,11-10-2006,0.0009
22.7,75.8,11-10-2006,0.0009
22.7,75.9,11-10-2006,0.0009
22.7,76,11-10-2006,0.0009
22.7,76.1,11-10-2006,0.0009
22.8,75.7,11-10-2006,0.0009
22.8,75.8,11-10-2006,0.0009
22.8,75.9,11-10-2006,0.0009
22.8,76,11-10-2006,0.0009
22.8,76.1,11-10-2006,0.0009
22.6,75.7,12-10-2006,0
22.6,75.8,12-10-2006,0
22.6,75.9,12-10-2006,0
22.6,76,12-10-2006,0
22.6,76.1,12-10-2006,0
22.7,75.7,12-10-2006,0
22.7,75.8,12-10-2006,0
22.7,75.9,12-10-2006,0
22.7,76,12-10-2006,0
22.7,76.1,12-10-2006,0
22.8,75.7,12-10-2006,0
22.8,75.8,12-10-2006,0
22.8,75.9,12-10-2006,0
22.8,76,12-10-2006,0
22.8,76.1,12-10-2006,0
22.6,75.7,13-10-2006,0.0004
22.6,75.8,13-10-2006,0.0004
22.6,75.9,13-10-2006,0.0004
22.6,76,13-10-2006,0.0004
22.6,76.1,13-10-2006,0.0004
22.7,75.7,13-10-2006,0.0004
22.7,75.8,13-10-2006,0.0004
22.7,75.9,13-10-2006,0.0004
22.7,76,13-10-2006,0.0004
22.7,76.1,13-10-2006,0.0004
22.8,75.7,13-10-2006,0.0004
22.8,75.8,13-10-2006,0.0004
22.8,75.9,13-10-2006,0.0004
22.8,76,13-10-2006,0.0004
22.8,76.1,13-10-2006,0.0004
22.6,75.7,14-10-2006,0.0009
22.6,75.8,14-10-2006,0.0009
22.6,75.9,14-10-2006,0.0009
22.6,76,14-10-2006,0.0009
22.6,76.1,14-10-2006,0.0009
22.7,75.7,14-10-2006,0.0009
22.7,75.8,14-10-2006,0.0009
22.7,75.9,14-10-2006,0.0009
22.7,76,14-10-2006,0.0009
22.7,76.1,14-10-2006,0.0009
22.8,75.7,14-10-2006,0.0009
22.8,75.8,14-10-2006,0.0009
22.8,75.9,14-10-2006,0.0009
22.8,76,14-10-2006,0.0009
22.8,76.1,14-10-2006,0.0009
22.6,75.7,15-10-2006,0.0004
22.6,75.8,15-10-2006,0.0004
22.6,75.9,15-10-2006,0.0004
22.6,76,15-10-2006,0.0004
